Date,Open,High,Low,Close,Adj Close,Volume,,Rsum,,0.02749291,Rmean,0.000443434,
28/02/2018,21.74,21.84,21.514999,21.58,20.421347,1877949,,Ri,,(Ri-Rmean) square,0.00737632455,,
01/03/2018,21.469999,21.57,21.344999,21.469999,20.317251,1123072,,-0.005097359,-0.005097359,0.00003070038,mu,0.00010909884818,
04/03/2018,21.309999,21.49,21.01,21.08,19.948193,3921014,,-0.018164835,-0.018164835,0.00034626769,sigma,0.00541028,
05/03/2018,21.299999,21.635,21.200001,21.58,20.421347,4420863,,0.023719165,0.023719165,0.00054175966,,,
06/03/2018,21.33,21.559999,21.059999,21.200001,20.061749,1782045,,-0.017608851,-0.017608851,0.00032588499,,,
07/03/2018,21.35,21.684999,21.299999,21.610001,20.449736,3253250,,0.019339622,0.019339622,0.00035706591,,1.000000000000000,0.00000000000000
08/03/2018,21.610001,21.84,21.440001,21.76,20.591682,1712707,,0.006941184,0.006941184,0.00004222076,,,
11/03/2018,22.049999,22.145,21.65,21.77,20.601145,1634762,,0.000459559,0.000459559,0.00000000026,,,
12/03/2018,21.629999,21.950001,21.629999,21.889999,20.714703,2409672,,0.005512127,0.005512127,0.00002569165,,,
13/03/2018,21.719999,21.83,21.610001,21.77,20.601145,1269195,,-0.00548191,-0.00548191,0.00003510970,,,
14/03/2018,21.75,21.959999,21.51,21.67,20.506516,2051767,,-0.004593477,-0.004593477,0.00002537048,,,
15/03/2018,21.629999,21.879999,21.540001,21.879999,20.705238,2288583,,0.009690771,0.009690771,0.00008551323,,,
18/03/2018,21.959999,22.08,21.92,22.01,20.82826,1715625,,0.005941545,0.005941545,0.00003022922,,,
19/03/2018,22,22,21.825001,21.950001,20.771482,922021,,-0.002725988,-0.002725988,0.00001004524,,,
20/03/2018,21.9,22.059999,21.41,21.57,20.411882,2540312,,-0.017312118,-0.017312118,0.00031525962,,,
21/03/2018,21.5,21.57,21.15,21.32,20.175306,1794919,,-0.011590172,-0.011590172,0.00014480766,,,
22/03/2018,21.049999,21.334999,20.91,21.209999,20.071211,1357271,,-0.005159522,-0.005159522,0.00003139311,,,
25/03/2018,21.030001,21.309999,21.02,21.18,20.042824,1212738,,-0.00141438,-0.00141438,0.00000345147,,,
26/03/2018,21.17,21.205,20.955,21.18,20.042824,1520074,,0,0,0.00000019663,,,
27/03/2018,21.07,21.75,21.07,21.6,20.440273,1945913,,0.019830028,0.019830028,0.00037584004,,,
28/03/2018,21.620001,21.809999,21.469999,21.68,20.515978,2300164,,0.003703704,0.003703704,0.00001062936,,,
03/04/2018,21.68,21.77,21.605,21.690001,20.52544,2471449,,0.000461301,0.000461301,0.00000000032,,,
04/04/2018,21.719999,21.790001,21.629999,21.67,20.506516,2280929,,-0.00092213,-0.00092213,0.00000186477,,,
05/04/2018,21.68,21.709999,21.26,21.290001,20.146919,1994466,,-0.017535718,-0.017535718,0.00032324989,,,
06/04/2018,21.23,21.290001,21.08,21.139999,20.004969,1487969,,-0.007045655,-0.007045655,0.00005608645,,,
09/04/2018,21.25,21.35,21.129999,21.129999,19.995506,1374513,,-0.000473037,-0.000473037,0.00000083992,,,
10/04/2018,21.15,21.18,21.049999,21.1,19.967119,1466846,,-0.001419735,-0.001419735,0.00000347140,,,
11/04/2018,21.07,21.07,20.690001,20.959999,19.834635,2514251,,-0.006635118,-0.006635118,0.00005010591,,,
12/04/2018,21.07,21.27,20.85,20.92,19.796782,1605354,,-0.001908349,-0.001908349,0.00000553088,,,
13/04/2018,20.75,20.98,20.559999,20.629999,19.522352,2087915,,-0.01386238,-0.01386238,0.00020465633,,,
16/04/2018,20.629999,21.115,20.629999,20.98,19.853559,1556265,,0.016965633,0.016965633,0.00027298307,,,
17/04/2018,21,21.33,20.870001,20.879999,19.75893,1548301,,-0.004766492,-0.004766492,0.00002714333,,,
18/04/2018,20.9,20.9,20.639999,20.690001,19.579132,1326608,,-0.009099522,-0.009099522,0.00009106800,,,
19/04/2018,20.790001,20.985001,20.6,20.68,19.56967,1771555,,-0.000483374,-0.000483374,0.00000085897,,,
20/04/2018,20.59,20.639999,20.209999,20.27,19.181683,1962204,,-0.019825919,-0.019825919,0.00041084666,,,
23/04/2018,20.299999,20.5,20.16,20.209999,19.124901,2152116,,-0.002960089,-0.002960089,0.00001158397,,,
24/04/2018,20.200001,20.620001,20.190001,20.5,19.399332,1724213,,0.014349382,0.014349382,0.00019337539,,,
