Date,Open,High,Low,Close,Adj Close,Volume
2018-02-27,null,null,null,null,null,null
2018-02-28,3.350000,3.350000,3.290000,3.320000,3.190567,35195793
2018-03-01,3.310000,3.330000,3.260000,3.270000,3.142516,37008956
2018-03-04,3.270000,3.300000,3.260000,3.300000,3.171347,20875513
2018-03-05,3.320000,3.370000,3.320000,3.370000,3.238618,27830482
2018-03-06,3.350000,3.360000,3.320000,3.350000,3.219398,29088050
2018-03-07,3.360000,3.390000,3.350000,3.390000,3.257838,20867228
2018-03-08,3.390000,3.450000,3.370000,3.440000,3.305889,27945892
2018-03-11,3.460000,3.475000,3.435000,3.440000,3.305889,24805121
2018-03-12,3.440000,3.460000,3.380000,3.410000,3.277059,23960304
2018-03-13,3.380000,3.380000,3.320000,3.320000,3.190567,28721170
2018-03-14,3.280000,3.330000,3.280000,3.300000,3.171347,41544840
2018-03-15,3.320000,3.350000,3.310000,3.350000,3.219398,39005575
2018-03-18,3.360000,3.365000,3.320000,3.350000,3.219398,16216690
2018-03-19,3.340000,3.370000,3.320000,3.370000,3.238618,20109486
2018-03-20,3.370000,3.370000,3.300000,3.330000,3.200177,25263907
2018-03-21,3.290000,3.300000,3.260000,3.270000,3.142516,38274466
2018-03-22,3.250000,3.250000,3.220000,3.220000,3.094466,35214529
2018-03-25,3.200000,3.230000,3.200000,3.200000,3.075246,28641761
2018-03-26,3.220000,3.235000,3.200000,3.210000,3.084856,17065221
2018-03-27,3.190000,3.200000,3.175000,3.180000,3.056025,24855189
2018-03-28,3.160000,3.180000,3.130000,3.140000,3.017585,44035234
2018-04-03,3.120000,3.160000,3.110000,3.150000,3.027195,25858766
2018-04-04,3.160000,3.170000,3.110000,3.130000,3.007975,26442493
2018-04-05,3.130000,3.140000,3.100000,3.110000,2.988754,25939749
2018-04-06,3.100000,3.110000,3.090000,3.100000,2.979144,19591583
2018-04-09,3.090000,3.130000,3.080000,3.110000,2.988754,19460216
2018-04-10,3.110000,3.160000,3.095000,3.150000,3.027195,16521836
2018-04-11,3.130000,3.140000,3.090000,3.100000,2.979144,27528186
2018-04-12,3.080000,3.120000,3.080000,3.090000,2.969534,28056800
2018-04-13,3.090000,3.110000,3.080000,3.100000,2.979144,21590421
2018-04-16,3.100000,3.120000,3.090000,3.120000,2.998364,13894879
2018-04-17,3.130000,3.160000,3.120000,3.150000,3.027195,18178780
2018-04-18,3.170000,3.170000,3.100000,3.120000,2.998364,15142001
2018-04-19,3.120000,3.125000,3.090000,3.110000,2.988754,24314642
2018-04-20,3.110000,3.110000,3.060000,3.080000,2.959924,21547289
2018-04-23,3.070000,3.090000,3.050000,3.090000,2.969534,21933315
2018-04-24,3.090000,3.110000,3.080000,3.100000,2.979144,17178142
2018-04-26,3.090000,3.110000,3.085000,3.110000,2.988754,21845041
2018-04-27,3.100000,3.150000,3.090000,3.150000,3.027195,28235311
2018-04-30,3.150000,3.200000,3.140000,3.180000,3.056025,26775096
2018-05-01,3.180000,3.210000,3.170000,3.200000,3.075246,21790311
2018-05-02,3.200000,3.210000,3.160000,3.190000,3.065635,23202052
2018-05-03,3.200000,3.230000,3.170000,3.220000,3.094466,29169694
2018-05-04,3.230000,3.270000,3.220000,3.240000,3.113686,25145082
2018-05-07,3.260000,3.260000,3.230000,3.250000,3.123296,15955580
2018-05-08,3.260000,3.260000,3.205000,3.220000,3.094466,24597213
2018-05-09,3.240000,3.260000,3.230000,3.250000,3.123296,16926074
2018-05-10,3.220000,3.240000,3.160000,3.170000,3.046415,34219186
2018-05-11,3.190000,3.220000,3.170000,3.200000,3.075246,22117151
2018-05-14,3.150000,3.150000,3.040000,3.040000,2.921483,70912918
2018-05-15,3.000000,3.000000,2.865000,2.870000,2.758111,88863238
2018-05-16,2.850000,2.880000,2.805000,2.860000,2.748501,71816304
2018-05-17,2.860000,2.870000,2.840000,2.870000,2.758111,31659091
2018-05-18,2.870000,2.890000,2.850000,2.850000,2.738890,29041699
2018-05-21,2.850000,2.850000,2.790000,2.800000,2.690840,32122116
2018-05-22,2.780000,2.790000,2.715000,2.740000,2.633179,48829657
2018-05-23,2.750000,2.780000,2.740000,2.780000,2.671620,37375568
2018-05-24,2.760000,2.790000,2.750000,2.790000,2.681230,25538566
2018-05-25,2.820000,2.920000,2.820000,2.870000,2.758111,51952429
2018-05-28,2.880000,2.880000,2.825000,2.840000,2.729280,28014611
2018-05-29,2.830000,2.840000,2.800000,2.810000,2.700450,43536961
2018-05-30,2.790000,2.800000,2.760000,2.790000,2.681230,40403052
2018-05-31,2.790000,2.820000,2.780000,2.800000,2.690840,35850089
